dataset_index,session_id,measurement_id,sample_id,status,valid_fraction,repair_fraction,raw_path,repaired_path,mask_path
75,zro2_120_formal,76,76,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_076.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_076.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_076.npz
76,zro2_120_formal,77,77,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_077.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_077.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_077.npz
77,zro2_120_formal,78,78,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_078.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_078.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_078.npz
78,zro2_120_formal,79,79,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_079.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_079.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_079.npz
79,zro2_120_formal,80,80,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_080.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_080.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_080.npz
80,zro2_120_formal,81,81,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_081.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_081.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_081.npz
81,zro2_120_formal,82,82,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_082.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_082.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_082.npz
82,zro2_120_formal,83,83,PASS,1.0,0.02703125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_083.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_083.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_083.npz
83,zro2_120_formal,84,84,PASS,1.0,0.001875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_084.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_084.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_084.npz
84,zro2_120_formal,85,85,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_085.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_085.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_085.npz
85,zro2_120_formal,86,86,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_086.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_086.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_086.npz
86,zro2_120_formal,87,87,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_087.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_087.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_087.npz
87,zro2_120_formal,88,88,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_088.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_088.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_088.npz
88,zro2_120_formal,89,89,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_089.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_089.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_089.npz
89,zro2_120_formal,90,90,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_090.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_090.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_090.npz
90,zro2_120_formal,91,91,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_091.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_091.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_091.npz
91,zro2_120_formal,92,92,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_092.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_092.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_092.npz
92,zro2_120_formal,93,93,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_093.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_093.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_093.npz
93,zro2_120_formal,94,94,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_094.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_094.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_094.npz
94,zro2_120_formal,95,95,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_095.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_095.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_095.npz
95,zro2_120_formal,96,96,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_096.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_096.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_096.npz
96,zro2_120_formal,97,97,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_097.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_097.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_097.npz
97,zro2_120_formal,98,98,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_098.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_098.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_098.npz
98,zro2_120_formal,99,99,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_099.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_099.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_099.npz
99,zro2_120_formal,100,100,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_100.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_100.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_100.npz
100,zro2_120_formal,101,101,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_101.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_101.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_101.npz
101,zro2_120_formal,102,102,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_102.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_102.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_102.npz
102,zro2_120_formal,103,103,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_103.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_103.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_103.npz
103,zro2_120_formal,104,104,PASS,1.0,0.001171875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_104.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_104.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_104.npz
104,zro2_120_formal,105,105,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_105.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_105.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_105.npz
105,zro2_120_formal,106,106,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_106.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_106.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_106.npz
106,zro2_120_formal,107,107,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_107.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_107.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_107.npz
107,zro2_120_formal,108,108,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_108.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_108.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_108.npz
108,zro2_120_formal,109,109,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_109.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_109.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_109.npz
109,zro2_120_formal,110,110,PASS,1.0,0.00140625,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_110.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_110.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_110.npz
110,zro2_120_formal,111,111,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_111.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_111.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_111.npz
111,zro2_120_formal,112,112,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_112.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_112.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_112.npz
112,zro2_120_formal,113,113,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_113.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_113.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_113.npz
113,zro2_120_formal,114,114,PASS,1.0,0.0030078125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_114.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_114.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_114.npz
114,zro2_120_formal,115,115,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_115.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_115.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_115.npz
115,zro2_120_formal,116,116,PASS,1.0,0.0015234375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_116.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_116.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_116.npz
116,zro2_120_formal,117,117,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_117.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_117.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_117.npz
117,zro2_120_formal,118,118,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_118.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_118.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_118.npz
118,zro2_120_formal,119,119,PASS,1.0,0.000546875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_119.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_119.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_119.npz
119,zro2_120_formal,120,120,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_120.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_120.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_120.npz
120,zro2_20_supplement,1,1,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_001.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_001.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_001.npz
121,zro2_20_supplement,1,2,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_002.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_002.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_002.npz
122,zro2_20_supplement,2,3,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_003.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_003.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_003.npz
123,zro2_20_supplement,2,4,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_004.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_004.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_004.npz
124,zro2_20_supplement,3,5,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_005.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_005.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_005.npz
125,zro2_20_supplement,3,6,PASS,1.0,0.000546875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_006.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_006.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_006.npz
126,zro2_20_supplement,4,7,PASS,1.0,0.003828125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_007.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_007.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_007.npz
127,zro2_20_supplement,4,8,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_008.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_008.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_008.npz
128,zro2_20_supplement,5,9,PASS,1.0,0.0001953125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_009.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_009.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_009.npz
129,zro2_20_supplement,5,10,PASS,1.0,0.0002734375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_010.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_010.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_010.npz
130,zro2_20_supplement,6,11,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_011.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_011.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_011.npz
131,zro2_20_supplement,6,12,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_012.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_012.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_012.npz
132,zro2_20_supplement,7,13,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_013.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_013.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_013.npz
133,zro2_20_supplement,7,14,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_014.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_014.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_014.npz
134,zro2_20_supplement,8,15,PASS,1.0,0.0006640625,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_015.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_015.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_015.npz
135,zro2_20_supplement,8,16,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_016.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_016.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_016.npz
136,zro2_20_supplement,9,17,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_017.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_017.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_017.npz
137,zro2_20_supplement,9,18,PASS,1.0,0.0002734375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_018.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_018.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_018.npz
138,zro2_20_supplement,10,19,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_019.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_019.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_019.npz
139,zro2_20_supplement,10,20,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_20_supplement__sample_020.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_20_supplement__sample_020.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_20_supplement__sample_020.npz
140,zro2_60_pass,1,1,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_001.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_001.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_001.npz
141,zro2_60_pass,1,2,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_002.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_002.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_002.npz
142,zro2_60_pass,2,3,PASS,1.0,0.0009765625,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_003.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_003.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_003.npz
143,zro2_60_pass,2,4,PASS,1.0,0.002109375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_004.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_004.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_004.npz
144,zro2_60_pass,3,5,PASS,1.0,0.000546875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_005.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_005.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_005.npz
145,zro2_60_pass,3,6,PASS,1.0,0.000234375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_006.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_006.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_006.npz
146,zro2_60_pass,4,7,PASS,1.0,0.0015625,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_007.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_007.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_007.npz
147,zro2_60_pass,4,8,PASS,1.0,0.001875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_008.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_008.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_008.npz
148,zro2_60_pass,5,9,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_009.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_009.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_009.npz
149,zro2_60_pass,5,10,PASS,1.0,0.004609375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_60_pass__sample_010.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_60_pass__sample_010.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_60_pass__sample_010.npz
